case_id,method,terminal_status,failure_category,calls,total_tokens,reported_latency_seconds,judge_status,strict_accepted_text,ready_and_accepted
opc250-250,direct_rewrite,proof_ready,proof_ready,1,8194,102.18181677800021,scored,True,True
opc250-250,self_refine,proof_ready,proof_ready,3,21088,216.7530473550014,scored,True,True
opc250-250,generator_critic,proof_ready,proof_ready,3,18910,216.45401315399977,scored,True,True
opc250-250,best_of_n,proof_ready,proof_ready,4,32787,365.7726332069999,scored,True,True
opc250-250,full_system,budget_exhausted,token_budget,15,81282,373.9658286140001,scored,False,False
proofnet250-001,original,proof_ready,proof_ready,,,,scored,False,False
proofnet250-001,direct_rewrite,proof_ready,proof_ready,1,6870,62.35702717700042,scored,True,True
proofnet250-001,self_refine,proof_ready,proof_ready,3,18865,125.32362143799946,scored,True,True
proofnet250-001,generator_critic,proof_ready,proof_ready,3,17744,82.26001755200105,scored,True,True
proofnet250-001,best_of_n,proof_ready,proof_ready,4,26693,222.0964988579999,scored,True,True
proofnet250-001,full_system,undetermined,uncertainty,4,23468,193.61701734399958,scored,False,False
proofnet250-002,original,proof_ready,proof_ready,,,,scored,False,False
proofnet250-002,direct_rewrite,proof_ready,proof_ready,1,5999,51.884493474999545,scored,True,True
proofnet250-002,self_refine,proof_ready,proof_ready,3,16533,70.4838788879988,scored,True,True
proofnet250-002,generator_critic,proof_ready,proof_ready,3,15894,74.3179509670008,scored,True,True
proofnet250-002,best_of_n,proof_ready,proof_ready,4,23796,141.0250503840016,scored,True,True
proofnet250-002,full_system,runtime_failed,runtime_failed,5,32932,360.01178203400013,scored,False,False
proofnet250-125,original,proof_ready,proof_ready,,,,scored,True,True
proofnet250-125,direct_rewrite,proof_ready,proof_ready,1,4662,30.641807467000035,scored,True,True
proofnet250-125,self_refine,proof_ready,proof_ready,3,13455,71.7918044550006,scored,True,True
proofnet250-125,generator_critic,proof_ready,proof_ready,3,12888,47.13583271200059,scored,True,True
proofnet250-125,best_of_n,proof_ready,proof_ready,4,18790,90.72194237599979,scored,True,True
proofnet250-125,full_system,undetermined,uncertainty,8,40162,200.49999508999827,scored,True,False
proofnet250-250,original,proof_ready,proof_ready,,,,scored,True,True
proofnet250-250,direct_rewrite,proof_ready,proof_ready,1,4215,9.811881446999905,scored,True,True
proofnet250-250,self_refine,proof_ready,proof_ready,3,12192,23.385600452999824,scored,True,True
proofnet250-250,generator_critic,proof_ready,proof_ready,3,12171,24.451990188999844,scored,True,True
proofnet250-250,best_of_n,proof_ready,proof_ready,4,16649,56.51870800699817,scored,True,True
proofnet250-250,full_system,proof_ready,proof_ready,4,17364,65.82196867699986,scored,True,True
